date,open,high,low,close,gdelt_sentiment
2013-04-01,1.2809,1.2867,1.2769,1.2842,-0.6235638856887817
2013-04-02,1.2843,1.2877,1.2807,1.2821,-0.20830825120210647
2013-04-03,1.2822,1.2864,1.2788,1.2842,-0.5571026438847184
2013-04-04,1.2842,1.2949,1.2746,1.2932,-0.19409021735191345
2013-04-05,1.2932,1.304,1.2897,1.2989,-0.4834746100008488
2013-04-08,1.2992,1.3037,1.2967,1.3017,-0.7899478524923325
2013-04-09,1.3017,1.3103,1.3002,1.3079,-0.5726465924332539
2013-04-10,1.308,1.3122,1.305,1.3068,-0.46845480473712087
2013-04-11,1.3067,1.3138,1.3041,1.3107,-0.336576362606138
2013-04-12,1.3106,1.3126,1.3036,1.3107,-0.09767270553857088
2013-04-15,1.3104,1.3109,1.3021,1.3045,-0.08574632555246353
2013-04-16,1.3046,1.3199,1.3027,1.3178,-0.4657182388007641
2013-04-17,1.3179,1.3198,1.3,1.3035,-0.09567018672823906
2013-04-18,1.3035,1.3096,1.3019,1.305,-0.442522332072258
2013-04-19,1.3052,1.3127,1.3045,1.3053,-0.22783974325284362
2013-04-22,1.3063,1.3084,1.3014,1.3061,-0.41599072217941285
2013-04-23,1.3061,1.3083,1.2972,1.3,-0.2603423483669758
2013-04-24,1.3001,1.3033,1.2954,1.3012,-0.6242452164491018
2013-04-25,1.3011,1.3093,1.2988,1.3009,-0.22688710456714034
2013-04-26,1.3009,1.3046,1.299,1.3029,-0.6995903201401233
2013-04-29,1.3059,1.3115,1.3029,1.3093,-0.42887897696346045
2013-04-30,1.3093,1.3185,1.3053,1.3166,-0.41652603819966316
2013-05-01,1.3166,1.3242,1.3158,1.3184,-0.46782235242426395
2013-05-02,1.3182,1.3214,1.3037,1.3062,-0.20278930738568307
2013-05-03,1.3062,1.3158,1.3033,1.3114,-0.5139178022742271
2013-05-06,1.3118,1.314,1.3052,1.3073,-0.027076701323191326
2013-05-07,1.3073,1.3131,1.3064,1.3078,-0.0007293988019227982
2013-05-08,1.3078,1.3194,1.307,1.3157,-0.36250558076426387
2013-05-09,1.3159,1.3177,1.3008,1.3044,-0.17166033312678336
2013-05-10,1.3043,1.305,1.2934,1.2992,-0.29099758900702
2013-05-13,1.2977,1.2999,1.2941,1.2981,-0.19014942925423384
2013-05-14,1.2982,1.3028,1.2915,1.2931,-0.31363825872540474
2013-05-15,1.2931,1.2942,1.2842,1.288,-0.5505484066903591
2013-05-16,1.2879,1.2929,1.2845,1.2883,-0.2710848848025004
2013-05-17,1.2882,1.289,1.2795,1.2838,-0.35179515089839697
2013-05-20,1.2844,1.2901,1.2818,1.2883,-0.2583426060155034
2013-05-21,1.2884,1.2933,1.284,1.2905,-0.20936016412451863
2013-05-22,1.2905,1.2998,1.2832,1.2852,-0.3778029762208462
2013-05-23,1.2851,1.2955,1.282,1.2932,-0.6261502914130688
2013-05-24,1.2932,1.2992,1.2903,1.2932,-0.013609644025564194
2013-05-27,1.2934,1.2944,1.2933,1.2937,-0.29674244448542597
2013-05-28,1.2932,1.2949,1.2848,1.2852,0.00028520201643308
2013-05-29,1.2852,1.2977,1.2837,1.2939,-0.235695606097579
2013-05-30,1.2938,1.3061,1.2931,1.3045,-0.21688661305233836
2013-05-31,1.3045,1.3059,1.2943,1.2993,-0.6392096178606153
2013-06-03,1.299,1.3106,1.2952,1.3069,-0.3612876236438751
2013-06-04,1.307,1.31,1.3041,1.3081,-0.2656635783612728
2013-06-05,1.3081,1.3115,1.3052,1.3092,-0.40640360303223133
2013-06-06,1.3091,1.3305,1.3073,1.3238,-0.8278355151414871
2013-06-07,1.3238,1.3283,1.3191,1.3216,-0.5143343550153077
2013-06-10,1.3203,1.3268,1.3175,1.3256,-0.06641690917313099
